Date,Day,Rounds Played
12/1/22,Thursday,43
12/2/22,Friday,112
12/3/22,Saturday,88
12/4/22,Sunday,100
12/5/22,Monday,25
12/6/22,Tuesday,62
12/7/22,Wednesday,81
12/8/22,Thursday,100
12/9/22,Friday,80
12/10/22,Saturday,134
12/11/22,Sunday,28
12/12/22,Monday,37
12/13/22,Tuesday,55
12/14/22,Wednesday,4
12/15/22,Thursday,41
12/16/22,Friday,101
12/17/22,Saturday,69
12/18/22,Sunday,31
12/19/22,Monday,8
12/20/22,Tuesday,4
12/21/22,Wednesday,36
12/22/22,Thursday,87
12/23/22,Friday,0
12/24/22,Saturday,0
12/25/22,Sunday,0
12/26/22,Monday,83
12/27/22,Tuesday,106
12/28/22,Wednesday,172
12/29/22,Thursday,159
12/30/22,Friday,0
12/31/22,Saturday,89
1/1/23,Sunday,76
1/2/23,Monday,71
1/3/23,Tuesday,9
1/4/23,Wednesday,44
1/5/23,Thursday,63
1/6/23,Friday,91
1/7/23,Saturday,163
1/8/23,Sunday,34
1/9/23,Monday,34
1/10/23,Tuesday,49
1/11/23,Wednesday,67
1/12/23,Thursday,38
1/13/23,Friday,71
1/14/23,Saturday,115
1/15/23,Sunday,155
1/16/23,Monday,118
1/17/23,Tuesday,48
1/18/23,Wednesday,74
1/19/23,Thursday,99
1/20/23,Friday,100
1/21/23,Saturday,70
1/22/23,Sunday,55
1/23/23,Monday,45
1/24/23,Tuesday,32
1/25/23,Wednesday,29
1/26/23,Thursday,46
1/27/23,Friday,130
1/28/23,Saturday,188
1/29/23,Sunday,37
1/30/23,Monday,48
1/31/23,Tuesday,54
2/1/23,Wednesday,45
2/2/23,Thursday,35
2/3/23,Friday,92
2/4/23,Saturday,146
2/5/23,Sunday,170
2/6/23,Monday,45
2/7/23,Tuesday,60
2/8/23,Wednesday,49
2/9/23,Thursday,57
2/10/23,Friday,96
2/11/23,Saturday,89
2/12/23,Sunday,75
2/13/23,Monday,66
2/14/23,Tuesday,67
2/15/23,Wednesday,71
2/16/23,Thursday,47
2/17/23,Friday,65
2/18/23,Saturday,54
2/19/23,Sunday,55
2/20/23,Monday,113
2/21/23,Tuesday,0
2/22/23,Wednesday,89
2/23/23,Thursday,84
2/24/23,Friday,153
2/25/23,Saturday,165
2/26/23,Sunday,166
2/27/23,Monday,61
2/28/23,Tuesday,60
3/1/23,Wednesday,83
3/2/23,Thursday,76
3/3/23,Friday,152
3/4/23,Saturday,196
3/5/23,Sunday,168
3/6/23,Monday,80
3/7/23,Tuesday,62
3/8/23,Wednesday,76
3/9/23,Thursday,141
3/10/23,Friday,137
3/11/23,Saturday,169
3/12/23,Sunday,168
3/13/23,Monday,81
3/14/23,Tuesday,63
3/15/23,Wednesday,82
3/16/23,Thursday,149
3/17/23,Friday,34
3/18/23,Saturday,127
3/19/23,Sunday,84
3/20/23,Monday,44
3/21/23,Tuesday,108
3/22/23,Wednesday,137
3/23/23,Thursday,125
3/24/23,Friday,179
3/25/23,Saturday,177
3/26/23,Sunday,148
3/27/23,Monday,37
3/28/23,Tuesday,25
3/29/23,Wednesday,87
3/30/23,Thursday,121
3/31/23,Friday,180
4/1/23,Saturday,168
4/2/23,Sunday,168
4/3/23,Monday,73
4/4/23,Tuesday,65
4/5/23,Wednesday,113
4/6/23,Thursday,148
4/7/23,Friday,89
4/8/23,Saturday,80
4/9/23,Sunday,94
4/10/23,Monday,104
4/11/23,Tuesday,86
4/12/23,Wednesday,37
4/13/23,Thursday,101
4/14/23,Friday,137
4/15/23,Saturday,117
4/16/23,Sunday,212
4/17/23,Monday,144
4/18/23,Tuesday,112
4/19/23,Wednesday,109
4/20/23,Thursday,167
4/21/23,Friday,84
4/22/23,Saturday,191
4/23/23,Sunday,177
4/24/23,Monday,93
4/25/23,Tuesday,102
4/26/23,Wednesday,128
4/27/23,Thursday,88
4/28/23,Friday,199
4/29/23,Saturday,129
4/30/23,Sunday,144
5/1/23,Monday,96
5/2/23,Tuesday,109
5/3/23,Wednesday,99
5/4/23,Thursday,115
5/5/23,Friday,100
5/6/23,Saturday,75
5/7/23,Sunday,162
5/8/23,Monday,97
5/9/23,Tuesday,51
5/10/23,Wednesday,120
5/11/23,Thursday,156
5/12/23,Friday,153
5/13/23,Saturday,160
5/14/23,Sunday,79
5/15/23,Monday,84
5/16/23,Tuesday,83
5/17/23,Wednesday,86
5/18/23,Thursday,131
5/19/23,Friday,206
5/20/23,Saturday,185
5/21/23,Sunday,139
5/22/23,Monday,92
5/23/23,Tuesday,92
5/24/23,Wednesday,89
5/25/23,Thursday,95
5/26/23,Friday,151
5/27/23,Saturday,186
5/28/23,Sunday,210
5/29/23,Monday,156
5/30/23,Tuesday,72
5/31/23,Wednesday,75
6/1/23,Thursday,97
6/2/23,Friday,147
6/3/23,Saturday,150
6/4/23,Sunday,159
6/5/23,Monday,0
6/6/23,Tuesday,0
6/7/23,Wednesday,108
6/8/23,Thursday,97
6/9/23,Friday,144
6/10/23,Saturday,161
6/11/23,Sunday,192
6/12/23,Monday,54
6/13/23,Tuesday,81
6/14/23,Wednesday,74
6/15/23,Thursday,69
6/16/23,Friday,146
6/17/23,Saturday,177
6/18/23,Sunday,119
6/19/23,Monday,74
6/20/23,Tuesday,38
6/21/23,Wednesday,74
6/22/23,Thursday,67
6/23/23,Friday,130
6/24/23,Saturday,138
6/25/23,Sunday,130
6/26/23,Monday,52
6/27/23,Tuesday,70
6/28/23,Wednesday,64
6/29/23,Thursday,62
6/30/23,Friday,86
7/1/23,Saturday,106
7/2/23,Sunday,102
7/3/23,Monday,62
7/4/23,Tuesday,113
7/5/23,Wednesday,61
7/6/23,Thursday,85
7/7/23,Friday,109
7/8/23,Saturday,173
7/9/23,Sunday,111
7/10/23,Monday,29
7/11/23,Tuesday,101
7/12/23,Wednesday,77
7/13/23,Thursday,103
7/14/23,Friday,110
7/15/23,Saturday,155
7/16/23,Sunday,113
7/17/23,Monday,61
7/18/23,Tuesday,77
7/19/23,Wednesday,76
7/20/23,Thursday,106
7/21/23,Friday,107
7/22/23,Saturday,170
7/23/23,Sunday,84
7/24/23,Monday,71
7/25/23,Tuesday,57
7/26/23,Wednesday,82
7/27/23,Thursday,88
7/28/23,Friday,128
7/29/23,Saturday,161
7/30/23,Sunday,158
7/31/23,Monday,48
8/1/23,Tuesday,33
8/2/23,Wednesday,53
8/3/23,Thursday,81
8/4/23,Friday,116
8/5/23,Saturday,139
8/6/23,Sunday,131
8/7/23,Monday,43
8/8/23,Tuesday,61
8/9/23,Wednesday,66
8/10/23,Thursday,68
8/11/23,Friday,92
8/12/23,Saturday,112
8/13/23,Sunday,106
8/14/23,Monday,40
8/15/23,Tuesday,65
8/16/23,Wednesday,97
8/17/23,Thursday,101
8/18/23,Friday,123
8/19/23,Saturday,120
8/20/23,Sunday,162
8/21/23,Monday,46
8/22/23,Tuesday,69
8/23/23,Wednesday,46
8/24/23,Thursday,68
8/25/23,Friday,119
8/26/23,Saturday,144
8/27/23,Sunday,124
8/28/23,Monday,49
8/29/23,Tuesday,52
8/30/23,Wednesday,63
8/31/23,Thursday,101
9/1/23,Friday,191
9/2/23,Saturday,103
9/3/23,Sunday,129
9/4/23,Monday,104
9/5/23,Tuesday,42
9/6/23,Wednesday,60
9/7/23,Thursday,66
9/8/23,Friday,161
9/9/23,Saturday,172
9/10/23,Sunday,85
9/11/23,Monday,46
9/12/23,Tuesday,76
9/13/23,Wednesday,90
9/14/23,Thursday,47
9/15/23,Friday,163
9/16/23,Saturday,157
9/17/23,Sunday,128
9/18/23,Monday,48
9/19/23,Tuesday,67
9/20/23,Wednesday,98
9/21/23,Thursday,99
9/22/23,Friday,80
9/23/23,Saturday,93
9/24/23,Sunday,104
9/25/23,Monday,39
9/26/23,Tuesday,75
9/27/23,Wednesday,86
9/28/23,Thursday,104
9/29/23,Friday,197
9/30/23,Saturday,178
10/1/23,	Sunday,	97
10/2/23,	Monday,	53
10/3/23,	Tuesday,	77
10/4/23,	Wednesday,	94
10/5/23,	Thursday,	81
10/6/23,	Friday,	195
10/7/23,	Saturday,	145
10/8/23	,Sunday,	108
10/9/23,	Monday,	90
10/10/23,	Tuesday,	113
10/11/23,	Wednesday,	2
10/12/23,	Thursday,	78
10/13/23,	Friday,	202
10/14/23,	Saturday,	162
10/15/23,	Sunday,	152
10/16/23,	Monday,	66
10/17/23,	Tuesday,	76
10/18/23,	Wednesday,	136
10/19/23,	Thursday,	154
10/20/23,	Friday,	26
10/21/23,	Saturday,	141
10/22/23,	Sunday,	173
10/23/23,	Monday,	84
10/24/23,	Tuesday,	82
10/25/23,	Wednesday,	97
10/26/23,	Thursday,	132
10/27/23,	Friday,	193
10/28/23,	Saturday,	156
10/29/23,	Sunday,	137
10/30/23,	Monday,	85
10/31/23,	Tuesday,	52
11/1/23,Wednesday,70
11/2/23,Thursday,101
11/3/23,Friday,13
11/4/23,Saturday,170
11/5/23,Sunday,123
11/6/23,Monday,58
11/7/23,Tuesday,87
11/8/23,Wednesday,102
11/9/23,Thursday,137
11/10/23,Friday,182
11/11/23,Saturday,108
11/12/23,Sunday,104
11/13/23,Monday,15
11/14/23,Tuesday,0
11/15/23,Wednesday,18
11/16/23,Thursday,70
11/17/23,Friday,140
11/18/23,Saturday,127
11/19/23,Sunday,138
11/20/23,Monday,70
11/21/23,Tuesday,60
